Step;Freq in Hz;Diff;Freq in Mhz
0;38118310;;38,11831
100;38136698;18388;38,136698
200;38240854;104156;38,240854
300;38228836;-12018;38,228836
400;37767360;-461476;37,76736
500;35733098;-2034262;35,733098
600;35701050;-32048;35,70105
700;34486600;-1214450;34,4866
800;33232190;-1254410;33,23219
900;32066825;-1165365;32,066825
1000;30848925;-1217900;30,848925
1100;29903450;-945475;29,90345
1200;28909900;-993550;28,9099
1300;27980450;-929450;27,98045
1400;27018950;-961500;27,01895
1500;26121550;-897400;26,12155
1600;25253660;-867890;25,25366
1700;24406875;-846785;24,406875
1800;23589600;-817275;23,5896
1900;22788350;-801250;22,78835
2000;21978230;-810120;21,97823
2100;21217900;-760330;21,2179
2200;20544850;-673050;20,54485
2300;19879618;-665232;19,879618
2400;19264170;-615448;19,26417
2500;18689737;-574433;18,689737
2600;18100806;-588931;18,100806
2700;17547932;-552874;17,547932
2800;17026524;-521408;17,026524
2900;16105652;-920872;16,105652
3000;16093633;-12019;16,093633
3100;15672968;-420665;15,672968
3200;15239848;-433120;15,239848
3300;14837820;-402028;14,83782
3400;14449500;-388320;14,4495
3500;14077360;-372140;14,07736
3600;13397088;-680272;13,397088
3700;13422070;24982;13,42207
3800;13114650;-307420;13,11465
3900;12823410;-291240;12,82341
4000;12531792;-291618;12,531792
4100;12257110;-274682;12,25711
4200;12014410;-242700;12,01441
4300;11795980;-218430;11,79598
4400;11562340;-233640;11,56234
4500;11338895;-223445;11,338895
4600;11112375;-226520;11,112375
4700;10893945;-218430;10,893945
4800;10689032;-204913;10,689032
4900;10488408;-200624;10,488408
5000;10287776;-200632;10,287776
5100;10100088;-187688;10,100088
5200;9922720;-177368;9,92272
5300;9757072;-165648;9,757072
5400;9595272;-161800;9,595272
5500;9433472;-161800;9,433472
5600;9268900;-164572;9,2689
5700;9132100;-136800;9,1321
5800;8987200;-144900;8,9872
5900;8858400;-128800;8,8584
6000;8730192;-128208;8,730192
6100;8584700;-145492;8,5847
6200;8472000;-112700;8,472
6300;8343200;-128800;8,3432
6400;8211000;-132200;8,211
6500;8117800;-93200;8,1178
6600;8021200;-96600;8,0212
6700;7924793;-96407;7,924793
6800;7814395;-110398;7,814395
6900;7724568;-89827;7,724568
7000;7636469;-88099;7,636469
7100;7548370;-88099;7,54837
7200;7368108;-180262;7,368108
7300;7372172;4064;7,372172
7400;7300091;-72081;7,300091
7500;7220001;-80090;7,220001
7600;7135818;-84183;7,135818
7700;7067830;-67988;7,06783
7800;6995749;-72081;6,995749
7900;6923668;-72081;6,923668
8000;6857070;-66598;6,85707
8100;6795524;-61546;6,795524
8200;6731452;-64072;6,731452
8300;6675389;-56063;6,675389
8400;6615168;-60221;6,615168
8500;6594342;-20826;6,594342
